zone,invalidation,min_drop_pct,max_impulse_bars,max_wait_bars,max_trade_bars,total_trades,win_rate,expectancy,profit_factor,max_drawdown
0.236-0.382,0.618,6.0,60,60,160,41,60.97560975609756,0.17978340190743597,1.1521501928129405,-16.69787740562994
0.236-0.382,0.618,6.0,60,80,160,41,60.97560975609756,0.17978340190743597,1.1521501928129405,-16.69787740562994
0.236-0.382,0.618,5.0,80,100,160,41,58.536585365853654,0.17417354467885243,1.15059750823544,-10.349085654175422
0.236-0.382,0.618,6.0,60,60,80,43,58.139534883720934,0.14220596752601522,1.1272163829798363,-17.433300753170375
0.236-0.382,0.618,6.0,60,80,80,43,58.139534883720934,0.14220596752601522,1.1272163829798363,-17.433300753170375
0.236-0.382,0.618,5.0,80,60,160,40,57.49999999999999,0.15354669454599304,1.127006434104667,-10.8641432775613
0.236-0.382,0.618,5.0,80,80,160,40,57.49999999999999,0.15354669454599304,1.127006434104667,-10.8641432775613
0.236-0.382,0.618,5.5,80,100,160,36,58.333333333333336,0.14354879312364244,1.1113371582118237,-11.898788339267455
0.236-0.382,0.618,6.0,60,100,80,43,55.81395348837209,0.08981219544914354,1.0806305743140172,-17.433300753170375
0.236-0.382,0.618,5.0,60,60,80,49,55.10204081632652,0.06949338958753232,1.0670012507237032,-17.433300753170375
0.236-0.382,0.618,5.0,60,80,80,49,55.10204081632652,0.06949338958753232,1.0670012507237032,-17.433300753170375
0.236-0.382,0.618,5.5,80,60,160,36,55.55555555555556,0.05324323999999513,1.0386386023958056,-15.149788251718759
0.236-0.382,0.618,5.5,80,80,160,36,55.55555555555556,0.05324323999999513,1.0386386023958056,-15.149788251718759
0.236-0.382,0.618,6.0,80,100,80,36,52.77777777777778,0.04436985552389849,1.0373757497551992,-17.9316833085934
0.236-0.382,0.618,6.0,80,60,80,34,55.88235294117647,0.03771678357703103,1.0297868243363337,-18.394237430312902
0.236-0.382,0.618,6.0,80,80,80,34,55.88235294117647,0.03771678357703103,1.0297868243363337,-18.394237430312902
0.236-0.382,0.618,5.5,60,60,80,46,54.347826086956516,0.027115239885629992,1.0245109370014955,-17.433300753170375
0.236-0.382,0.618,5.5,60,80,80,46,54.347826086956516,0.027115239885629992,1.0245109370014955,-17.433300753170375
0.236-0.382,0.618,5.0,80,60,80,42,54.761904761904766,0.01155067080141283,1.010275482507551,-16.231865565772956
0.236-0.382,0.618,5.0,80,80,80,42,54.761904761904766,0.01155067080141283,1.010275482507551,-16.231865565772956
0.236-0.382,0.618,4.5,80,60,80,48,56.25,0.003041099108310344,1.0029028593528473,-18.00018953805043
0.236-0.382,0.618,4.5,80,80,80,48,56.25,0.003041099108310344,1.0029028593528473,-18.00018953805043
0.236-0.382,0.618,5.0,80,100,80,43,51.162790697674424,-0.0006230733545451608,0.9994287053340731,-16.231865565772956
0.236-0.382,0.618,6.0,60,100,120,42,61.904761904761905,-0.0012068722250321308,0.9990711957048043,-20.357182780752265
0.236-0.382,0.618,4.5,80,100,80,49,53.06122448979592,-0.007468317769507841,0.9926767876958845,-18.00018953805043
0.236-0.382,0.618,4.5,80,100,160,47,55.319148936170215,-0.012675196529760752,0.988337289768982,-18.772134466261804
0.236-0.382,0.618,5.0,60,100,80,48,52.083333333333336,-0.012809882249484919,0.9880821614154279,-18.889246461763356
0.236-0.382,0.618,4.5,60,60,80,57,54.385964912280706,-0.014222524874546887,0.9862389395375329,-17.95079000796764
0.236-0.382,0.618,4.5,60,80,80,57,54.385964912280706,-0.014222524874546887,0.9862389395375329,-17.95079000796764
0.236-0.382,0.618,5.5,60,100,80,46,52.17391304347826,-0.025749206563385727,0.9767279086812805,-18.713659300119815
0.236-0.382,0.618,4.5,80,80,160,46,54.347826086956516,-0.03467351710634747,0.9693393145495376,-19.771382016255036
0.236-0.382,0.618,5.5,60,100,160,45,60.0,-0.09080331085984618,0.9299005470585762,-17.312239381284066
